
1,67
10001,75
24,49
3,326
8,289
30,144
7,373
10024,137
25,247
9,421
17,359
20,359
34,268
11,464
39,321
14,513
10025,370
37,448
12,629
32,542
56,471
18,630
10030,580
10008,783
55,589
43,669
2,920
13,867
80,571
73,602
57,718
38,778
72,743
27,906
6,1065
10,1035
10017,963
71,821
10034,797
52,940
5,1244
94,787
42,1112
62,1020
69,1076
19,1282
16,1285
90,1001
10073,676
104,883
54,1184
23,1346
41,1325
10055,910
63,1276
100,1036
102,1112
110,1072
46,1547
93,1365
36,1639
10044,1498
169,998
77,1531
107,1292
70,1627
15,1878
67,1642
97,1472
149,1189
10018,1843
21,1903
48,1758
31,1859
47,1838
85,1755
79,1803
126,1474
26,2034
22,2161
178,1404
129,1618
103,1781
28,2200
160,1582
114,1795
45,2251
155,1687
125,1794
113,1910
64,2241
89,2141
10053,2031
150,1787
151,1799
81,2251
75,2308
98,2172
40,2474
255,1327
108,2095
33,2575
152,1925
217,1570
193,1778
197,1744
10098,1888
10013,2827
174,2183
211,1888
209,1890
10027,2809
189,2075
167,2228
10090,2236
10080,2259
10062,2472
274,1627
35,2934
215,1937
86,2788
182,2201
124,2452
257,1871
60,2967
147,2525
176,2438
298,1712
173,2525
190,2367
212,2268
66,3122
221,2229
10054,2891
223,2256
268,2118
277,2039
135,2840
199,2489
272,2140
88,3201
82,3258
128,2913
275,2123
76,3274
138,2876
118,2981
131,2932
241,2335
50,3392
295,1993
68,3344
222,2452
10042,3323
187,2688
146,2950
188,2717
49,3474
305,2032
233,2485
95,3252
307,2059
261,2411
254,2437
117,3171
84,3482
263,2492
170,3030
206,2741
262,2546
321,2149
220,2705
337,2108
339,2123
120,3288
201,2838
105,3388
345,2091
358,2042
267,2594
420,1668
159,3170
431,1671
430,1674
271,2536
357,2141
240,2692
228,2753
123,3353
443,1672
361,2081
10074,3287
218,2843
245,2747
200,2948
286,2450
10038,3737
379,1987
308,2397
219,2899
10048,3662
111,3515
10085,3273
10007,4075
10059,3475
10051,3579
203,3066
452,1729
10041,3834
127,3486
156,3389
168,3345
10079,3361
258,2865
338,2429
396,2035
390,2100
163,3416
202,3171
436,1923
96,3782
426,1993
192,3246
10067,3562
139,3569
234,3075
332,2529
232,3087
230,3090
165,3491
422,2043
10071,3603
10022,4104
10081,3504
162,3556
143,3641
10075,3645
259,3052
229,3154
10035,4056
466,1808
158,3610
10083,3562
10084,3572
278,2926
236,3191
291,2843
299,2796
10099,3399
10058,3799
391,2299
180,3549
265,3100
10068,3701
316,2708
376,2360
469,1863
374,2415
479,1817
304,2771
364,2479
29,4331
142,3738
134,3792
493,1799
324,2754
303,2857
465,1958
314,2812
370,2467
179,3632
172,3685
300,2889
248,3244
393,2396
421,2250
419,2268
99,4068
195,3524
342,2775
413,2327
253,3228
448,2179
449,2182
10076,3738
492,1888
287,2995
243,3302
10088,3756
389,2464
311,2914
208,3468
141,3871
191,3572
10078,3774
457,2125
10033,4277
355,2777
91,4178
404,2430
205,3481
121,3982
198,3540
183,3693
369,2646
239,3355
122,4026
454,2197
145,3952
453,2254
352,2863
226,3463
289,3127
280,3188
360,2841
250,3444
10091,3809
184,3759
10021,4511
349,2926
497,2027
115,4135
318,3042
330,2994
310,3096
428,2502
231,3561
171,3965
500,2065
408,2566
325,3068
363,2873
356,2973
302,3175
495,2126
386,2678
473,2232
282,3293
164,4006
424,2561
380,2762
119,4214
238,3569
323,3126
425,2590
394,2691
415,2645
133,4200
437,2554
136,4155
441,2556
440,2557
476,2257
246,3608
372,2867
161,4120
471,2322
400,2725
387,2776
475,2281
333,3131
224,3734
207,3785
175,4092
365,2943
362,2998
260,3602
294,3354
470,2356
486,2257
106,4361
309,3261
474,2374
251,3678
181,4029
483,2332
247,3682
478,2333
210,3841
482,2344
468,2403
213,3860
461,2468
417,2777
456,2530
185,4031
388,2881
283,3481
368,3033
319,3285
264,3685
157,4237
384,2937
458,2539
148,4240
237,3802
395,2855
488,2356
244,3758
194,4014
196,3964
235,3817
335,3269
328,3270
279,3573
343,3223
447,2724
367,3074
269,3677
366,3084
322,3334
392,2936
409,2839
109,4493
354,3244
418,2795
334,3296
132,4397
281,3555
410,2856
467,2511
276,3613
463,2568
383,3022
407,2877
490,2428
340,3343
459,2643
186,4144
346,3296
496,2404
144,4405
177,4306
288,3557
347,3308
444,2808
320,3408
451,2708
446,2811
427,2868
353,3319
256,3823
405,2979
433,2830
297,3531
341,3386
331,3390
327,3441
154,4395
344,3345
455,2696
434,2849
401,2999
306,3501
326,3455
373,3155
438,2856
498,2458
398,3010
378,3112
416,2963
293,3613
166,4364
329,3420
429,2921
385,3072
442,2874
350,3375
266,3878
414,2984
484,2540
382,3142
285,3693
315,3545
499,2496
381,3149
450,2853
397,3054
301,3605
296,3606
485,2556
216,4056
411,3007
403,3058
460,2708
312,3560
252,3961
481,2612
472,2666
359,3369
399,3071
292,3682
464,2732
273,3834
412,3038
227,4041
462,2742
477,2642
489,2610
290,3710
406,3064
432,3030
491,2632
351,3483
242,4035
225,4140
494,2661
371,3313
348,3533
487,2684
435,3038
377,3299
402,3201
375,3355
423,3106
439,3058
10043,5093
445,3102
249,4153
10095,4421
480,2843
10100,4347
10057,4875
10082,4691
10039,5192
10026,5294
10011,5395
10070,4799
10032,5201
10077,4738
10020,5340
10092,4660
10050,5065
10064,4936
10002,5784
10005,5713
